epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3469,1.40044,2.68646,1.15553,0.58901,0.25879,0.24354,0.15366,1.28502,1.46981,1.08442,0.000131765,0.000131765,0.000131765
1,69.2186,1.48984,3.29399,1.17969,0.55256,0.24657,0.22488,0.13464,1.34407,1.58928,1.11421,0.000131765,0.000131765,0.000131765
2,107.089,1.37583,1.74756,1.13591,0.60456,0.26764,0.26049,0.15531,1.305,1.52515,1.12944,0.000238853,0.000238853,0.000238853
3,145.912,1.34348,1.53635,1.1238,0.58643,0.28198,0.26069,0.15631,1.37361,1.50802,1.15188,0.000319542,0.000319542,0.000319542
4,186.676,1.3153,1.41827,1.11829,0.61718,0.28844,0.30306,0.18524,1.33792,1.44049,1.14349,0.0002812,0.0002812,0.0002812
5,226.186,1.29364,1.33914,1.10627,0.66383,0.32576,0.37084,0.23517,1.27728,1.31552,1.10442,0.0002416,0.0002416,0.0002416
6,265.991,1.26018,1.23507,1.08604,0.53233,0.4054,0.37347,0.22492,1.34432,1.27781,1.1324,0.000202,0.000202,0.000202
7,303.15,1.23099,1.15536,1.06552,0.55324,0.43205,0.40064,0.24914,1.31645,1.27445,1.12554,0.0001624,0.0001624,0.0001624
8,340.746,1.19264,1.07762,1.05216,0.60782,0.41962,0.4228,0.26662,1.25595,1.19892,1.09871,0.0001228,0.0001228,0.0001228
9,377.963,1.16445,1.01503,1.03913,0.62524,0.38692,0.42544,0.26509,1.28371,1.21777,1.1072,8.32e-05,8.32e-05,8.32e-05
10,415.521,1.1361,0.95594,1.02445,0.61487,0.43909,0.4421,0.28203,1.2244,1.14364,1.08208,4.36e-05,4.36e-05,4.36e-05
1,39.6594,1.40044,2.68646,1.15553,0.58901,0.25879,0.24354,0.15366,1.28502,1.46981,1.08442,0.000131765,0.000131765,0.000131765
2,77.986,1.31721,1.56233,1.11583,0.51778,0.26919,0.26193,0.1557,1.40113,1.55153,1.15677,0.000262474,0.000262474,0.000262474
3,115.825,1.30317,1.42675,1.10739,0.5508,0.32301,0.304,0.18045,1.34882,1.49395,1.14366,0.000390542,0.000390542,0.000390542
4,153.034,1.27967,1.34312,1.11038,0.52347,0.38513,0.30618,0.18063,1.34998,1.50003,1.15117,0.00038812,0.00038812,0.00038812
5,190.448,1.27903,1.30485,1.10076,0.59553,0.35204,0.32557,0.19546,1.41959,1.48936,1.18961,0.00038416,0.00038416,0.00038416
6,227.911,1.25211,1.21396,1.09108,0.62698,0.37184,0.38795,0.23619,1.3411,1.30447,1.14949,0.0003802,0.0003802,0.0003802
7,265.649,1.23342,1.1698,1.08364,0.64187,0.40682,0.41344,0.25117,1.34739,1.38578,1.14544,0.00037624,0.00037624,0.00037624
8,303.134,1.22309,1.14324,1.07937,0.70279,0.35289,0.40503,0.25119,1.31306,1.26623,1.12293,0.00037228,0.00037228,0.00037228
9,340.371,1.21148,1.13085,1.07433,0.46211,0.40766,0.36432,0.21987,1.36542,1.33912,1.15633,0.00036832,0.00036832,0.00036832
10,377.916,1.20516,1.10101,1.07124,0.61034,0.35277,0.3847,0.23437,1.32141,1.21826,1.13984,0.00036436,0.00036436,0.00036436
11,415.12,1.19302,1.05262,1.06389,0.51016,0.46029,0.41981,0.25663,1.25295,1.21936,1.10889,0.0003604,0.0003604,0.0003604
12,453.041,1.17607,1.03538,1.05542,0.51059,0.42154,0.41558,0.24892,1.2961,1.24974,1.12157,0.00035644,0.00035644,0.00035644
13,490.659,1.1702,1.01058,1.05257,0.62223,0.3633,0.39552,0.23489,1.32562,1.2005,1.14037,0.00035248,0.00035248,0.00035248
14,528.629,1.16181,0.99036,1.04135,0.66621,0.40657,0.41748,0.25564,1.32161,1.22057,1.13293,0.00034852,0.00034852,0.00034852
15,566.146,1.14246,0.96822,1.03792,0.55426,0.4174,0.42469,0.26545,1.25659,1.22656,1.10428,0.00034456,0.00034456,0.00034456
16,603.494,1.12049,0.94716,1.03746,0.67445,0.37504,0.41223,0.2584,1.31424,1.27785,1.13992,0.0003406,0.0003406,0.0003406
17,641.095,1.12874,0.93971,1.03265,0.71056,0.40013,0.49193,0.31785,1.25494,1.12208,1.09422,0.00033664,0.00033664,0.00033664
18,678.563,1.11546,0.91311,1.02962,0.69462,0.36911,0.40093,0.25363,1.25217,1.22419,1.0972,0.00033268,0.00033268,0.00033268
19,716.077,1.12064,0.91643,1.02658,0.56583,0.37865,0.41589,0.25143,1.30615,1.20603,1.13162,0.00032872,0.00032872,0.00032872
20,753.532,1.11629,0.90069,1.02448,0.63171,0.42299,0.43288,0.26961,1.24452,1.1213,1.09688,0.00032476,0.00032476,0.00032476
21,791.05,1.09447,0.87756,1.01686,0.57587,0.43008,0.44027,0.26941,1.29842,1.16843,1.12117,0.0003208,0.0003208,0.0003208
22,828.427,1.07751,0.85366,1.01272,0.63671,0.4324,0.41864,0.25674,1.3162,1.19272,1.13815,0.00031684,0.00031684,0.00031684
23,865.782,1.07061,0.84572,1.00813,0.73622,0.37419,0.44167,0.26831,1.37168,1.1672,1.16452,0.00031288,0.00031288,0.00031288
24,903.199,1.08096,0.83865,1.01122,0.6563,0.40604,0.44236,0.26673,1.33477,1.27002,1.14621,0.00030892,0.00030892,0.00030892
25,940.299,1.06818,0.82188,1.00492,0.53515,0.41966,0.43787,0.26466,1.36697,1.22382,1.15975,0.00030496,0.00030496,0.00030496
26,977.712,1.04524,0.81003,0.99682,0.60936,0.44016,0.45132,0.27545,1.34873,1.19148,1.13652,0.000301,0.000301,0.000301
27,1014.96,1.05287,0.80242,0.99969,0.53851,0.49975,0.48022,0.28723,1.30783,1.16412,1.13501,0.00029704,0.00029704,0.00029704
