epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.329,1.62305,2.60448,1.31967,0.35503,0.02836,0.0125,0.00588,2.45571,14.007,2.31656,0.0687059,0.00164706,0.00164706
2,79.92,1.72595,2.13392,1.40878,0.41659,0.12021,0.09633,0.05015,1.903,2.61337,1.64728,0.0368205,0.00309502,0.00309502
3,118.289,1.65182,1.96602,1.35825,0.46139,0.16591,0.14604,0.07599,1.77063,2.53754,1.51005,0.00471514,0.00432298,0.00432298
4,156.594,1.62118,1.8885,1.34206,0.49518,0.23421,0.20246,0.11004,1.63088,1.93361,1.39292,0.00401,0.00401,0.00401
5,195.067,1.5944,1.78168,1.32086,0.54611,0.24136,0.23961,0.1287,1.61844,1.85456,1.37364,0.00368,0.00368,0.00368
1,40.0067,1.63603,2.61695,1.32084,0.14607,0.0376,0.01439,0.0061,2.50209,9.07325,2.28826,0.0687059,0.00164706,0.00164706
2,79.3512,1.72745,2.15199,1.40864,0.30344,0.14876,0.09329,0.04762,1.9751,3.40591,1.74164,0.0368205,0.00309502,0.00309502
3,117.532,1.65221,1.97873,1.35248,0.43163,0.10038,0.10796,0.05256,1.9822,3.55836,1.69272,0.00471514,0.00432298,0.00432298
4,155.944,1.60457,1.8933,1.34477,0.46549,0.15212,0.17079,0.09469,1.67787,2.19684,1.43952,0.00401,0.00401,0.00401
5,194.194,1.57181,1.78793,1.31835,0.57421,0.21603,0.24833,0.1317,1.62931,1.7584,1.3629,0.00368,0.00368,0.00368
6,262.424,1.53757,1.71266,1.28828,0.55521,0.19778,0.22373,0.13433,1.71524,2.06992,1.45346,0.00335,0.00335,0.00335
7,299.805,1.5249,1.64672,1.28836,0.57116,0.26657,0.26915,0.14989,1.49914,1.67005,1.30702,0.00302,0.00302,0.00302
8,336.683,1.46844,1.54362,1.26176,0.58742,0.28735,0.31962,0.18767,1.51306,1.57243,1.29546,0.00269,0.00269,0.00269
9,374.243,1.44074,1.46834,1.22696,0.56401,0.27548,0.28332,0.15987,1.55342,1.62767,1.34279,0.00236,0.00236,0.00236
10,411.626,1.39962,1.40342,1.2041,0.66293,0.29354,0.31664,0.18869,1.40917,1.49756,1.23013,0.00203,0.00203,0.00203
11,448.885,1.37906,1.33818,1.19491,0.6118,0.32201,0.32923,0.19729,1.41662,1.48322,1.25297,0.0017,0.0017,0.0017
12,485.863,1.35433,1.30099,1.17605,0.57182,0.37598,0.37237,0.21767,1.45377,1.44144,1.24771,0.00137,0.00137,0.00137
13,522.863,1.31626,1.22924,1.15949,0.60666,0.34628,0.36562,0.22049,1.37088,1.36303,1.21755,0.00104,0.00104,0.00104
14,560.08,1.2834,1.15902,1.13902,0.60833,0.35804,0.38641,0.23395,1.39748,1.32278,1.21464,0.00071,0.00071,0.00071
15,596.93,1.25235,1.11418,1.12455,0.6297,0.41852,0.41575,0.25936,1.33462,1.2596,1.18381,0.00038,0.00038,0.00038
