epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3469,1.40044,2.68646,1.15553,0.58901,0.25879,0.24354,0.15366,1.28502,1.46981,1.08442,0.000131765,0.000131765,0.000131765
1,69.2186,1.48984,3.29399,1.17969,0.55256,0.24657,0.22488,0.13464,1.34407,1.58928,1.11421,0.000131765,0.000131765,0.000131765
2,107.089,1.37583,1.74756,1.13591,0.60456,0.26764,0.26049,0.15531,1.305,1.52515,1.12944,0.000238853,0.000238853,0.000238853
3,145.912,1.34348,1.53635,1.1238,0.58643,0.28198,0.26069,0.15631,1.37361,1.50802,1.15188,0.000319542,0.000319542,0.000319542
4,186.676,1.3153,1.41827,1.11829,0.61718,0.28844,0.30306,0.18524,1.33792,1.44049,1.14349,0.0002812,0.0002812,0.0002812
5,226.186,1.29364,1.33914,1.10627,0.66383,0.32576,0.37084,0.23517,1.27728,1.31552,1.10442,0.0002416,0.0002416,0.0002416
6,265.991,1.26018,1.23507,1.08604,0.53233,0.4054,0.37347,0.22492,1.34432,1.27781,1.1324,0.000202,0.000202,0.000202
7,303.15,1.23099,1.15536,1.06552,0.55324,0.43205,0.40064,0.24914,1.31645,1.27445,1.12554,0.0001624,0.0001624,0.0001624
8,340.746,1.19264,1.07762,1.05216,0.60782,0.41962,0.4228,0.26662,1.25595,1.19892,1.09871,0.0001228,0.0001228,0.0001228
9,377.963,1.16445,1.01503,1.03913,0.62524,0.38692,0.42544,0.26509,1.28371,1.21777,1.1072,8.32e-05,8.32e-05,8.32e-05
10,415.521,1.1361,0.95594,1.02445,0.61487,0.43909,0.4421,0.28203,1.2244,1.14364,1.08208,4.36e-05,4.36e-05,4.36e-05
